#Frame            All     All[Max]
     574      21.1103      28.6511
     575      21.1414      28.8975
     576      21.2257      28.9959
     577      21.2882      29.0395
     578      21.3137      29.2003
     579      21.2410      28.8140
     580      21.1967      28.8093
     581      21.2933      29.0378
     582      21.4143      29.1952
     583      21.4297      29.4625
     584      21.4163      29.0111
     585      21.4932      29.5702
     586      21.4148      29.0232
     587      21.3844      40.9611
     588      21.3816      28.8756
     589      21.2882      41.4373
     590      21.1941      40.4971
     591      21.3616      29.1128
     592      21.4167      41.0709
     593      21.5393      29.2059
     594      21.4815      42.3903
     595      21.5026      29.8757
     596      21.3017      29.5025
     597      21.3464      29.6774
     598      21.5625      30.1419
     599      21.5106      30.2417
     600      21.5522      30.0492
     601      21.7331      30.6093
     602      21.4835      30.4789
     603      21.3798      29.8536
     604      21.3684      30.0024
     605      21.2632      29.5017
     606      21.4602      29.5346
     607      21.3480      41.7254
     608      21.3662      41.6110
     609      21.3566      41.5013
     610      21.3540      42.3616
     611      21.3762      41.8985
     612      21.4527      30.0678
     613      21.5290      43.4661
     614      21.4903      43.1270
     615      21.5055      29.6006
     616      21.6218      29.4853
     617      21.5722      29.8625
     618      21.4850      41.6779
     619      21.3679      29.2750
     620      21.5817      30.0614
     621      21.4980      30.0546
     622      21.4015      29.9682
     623      21.3725      30.2083
     624      21.3646      30.1219
     625      21.4655      29.7869
     626      21.4311      30.1055
     627      21.5531      30.4772
     628      21.5333      29.9239
     629      21.4398      29.9392
     630      21.3651      30.2564
     631      21.4242      30.5117
     632      21.2434      29.4493
     633      21.2714      29.7050
     634      21.1678      29.4909
     635      21.1944      29.3691
     636      21.4031      29.9088
     637      21.5276      29.8931
     638      21.2034      29.0920
     639      21.4349      29.7412
     640      21.2833      41.8778
     641      21.3993      41.2753
     642      21.3432      28.9934
     643      21.3997      29.4870
     644      21.5293      29.8338
     645      21.5242      30.3684
     646      21.4753      30.1245
     647      21.5036      29.8794
     648      21.6519      29.8700
     649      21.6468      30.0793
     650      21.5875      29.7878
     651      21.6893      30.3760
     652      21.8166      30.7938
     653      21.7803      31.0492
     654      21.8024      30.4504
     655      21.7853      30.5650
     656      21.8283      30.5414
     657      21.9190      31.0209
     658      21.7459      30.6383
     659      21.6469      30.4524
     660      21.6246      30.1505
     661      21.9317      30.7367
     662      21.8315      30.9192
     663      21.9236      31.3888
     664      21.9424      31.1089
     665      22.0457      31.3933
     666      21.9984      31.7265
     667      22.1241      31.6151
     668      22.0476      31.2122
     669      21.9852      31.5319
     670      21.8095      31.5896
     671      21.6520      30.4819
     672      21.7666      43.1825
     673      21.5997      30.2140
     674      21.8756      30.2886
     675      21.6690      29.6768
     676      21.6725      42.8542
     677      21.6803      30.1903
     678      21.6946      30.1531
     679      21.4317      29.6612
     680      21.4918      41.6406
     681      21.5136      29.3315
     682      21.5753      41.7641
     683      21.6205      41.8286
     684      21.5938      41.6382
     685      21.5889      41.1870
     686      21.7830      41.7037
     687      21.8583      42.1423
     688      21.8341      42.3208
     689      21.7132      29.0916
     690      21.6051      41.1369
     691      21.6507      29.2649
     692      21.5730      29.3132
     693      21.7376      29.6262
     694      21.6298      29.4650
     695      21.6918      29.5456
     696      21.7184      29.5725
     697      21.7328      30.1659
     698      21.7691      42.5398
     699      22.0653      30.4808
     700      21.9695      30.6695
     701      21.9705      30.8672
     702      21.9172      30.7915
     703      21.9210      30.4570
