#Frame            All     All[Max]
     640      24.5224      35.3307
     641      24.4206      34.0454
     642      24.3152      33.6789
     643      24.4100      34.0340
     644      24.2548      34.1204
     645      24.0299      33.8870
     646      24.0067      34.2003
     647      24.1027      35.0248
     648      24.1688      35.4444
     649      24.1646      34.9317
     650      24.0822      35.1793
     651      24.1537      35.3896
     652      24.2588      35.0654
     653      24.3511      35.7204
     654      24.3970      34.9645
     655      24.4278      34.7587
     656      24.4494      34.8519
     657      24.5770      35.0976
     658      24.4657      35.3719
     659      24.7254      35.8617
     660      24.7735      35.6004
     661      24.7110      35.0407
     662      24.8506      35.8776
     663      24.8171      35.8168
     664      24.5594      35.6004
     665      24.5498      35.9674
     666      24.4659      35.3368
     667      24.5638      35.2122
     668      24.7165      35.4913
     669      24.7034      35.4554
     670      24.4921      34.7218
     671      24.3118      34.6108
     672      24.3175      34.6033
     673      24.1703      34.3412
     674      24.1943      34.8435
     675      24.0982      34.5619
     676      24.2581      34.1714
     677      24.2925      33.9871
     678      24.1863      34.0079
     679      24.4258      35.4908
     680      24.4383      35.2962
     681      24.2751      35.0744
     682      24.2742      35.0706
     683      24.3858      35.4000
     684      24.5703      35.4812
     685      24.5228      35.0049
     686      24.5064      34.7601
     687      24.6322      34.9299
     688      24.6929      35.0166
     689      24.6724      35.2819
     690      24.6254      35.2655
     691      24.5548      34.8477
     692      24.5469      35.2084
     693      24.7506      35.7070
     694      24.6415      35.3151
     695      24.4384      34.7123
     696      24.4240      35.0959
     697      24.3695      34.8097
     698      24.6531      35.3931
     699      24.5307      34.8400
     700      24.5315      35.0239
     701      24.4790      34.7082
     702      24.5461      36.0140
     703      24.5650      34.7956
     704      24.5111      35.0747
     705      24.6393      35.1420
     706      24.6381      35.7858
     707      24.3841      35.0867
     708      24.5327      35.0566
     709      24.5420      35.0095
     710      24.6331      35.7183
     711      24.5128      35.7493
     712      24.5405      35.5243
     713      24.5713      35.6047
     714      24.7438      36.2733
     715      24.6323      36.0637
     716      24.5202      36.1192
     717      24.5477      36.2866
     718      24.4726      36.3642
     719      24.3990      35.5639
     720      24.4086      35.4243
     721      24.3381      35.2047
     722      24.1690      34.7867
     723      24.4572      35.1176
     724      24.3642      35.3372
     725      24.2949      35.1610
     726      24.0859      34.7402
     727      24.1987      35.2758
     728      24.1846      34.5470
     729      24.2760      34.2750
     730      24.3537      34.6399
     731      24.3746      35.0382
     732      24.3473      34.9988
     733      24.2583      35.1424
     734      24.3041      35.0697
     735      24.2096      34.8116
     736      24.3180      35.0353
     737      24.3443      34.9402
     738      24.4881      35.3876
     739      24.3509      34.7776
     740      24.4297      34.6455
     741      24.3341      34.0096
     742      24.6925      35.5718
     743      24.4678      34.9512
     744      24.4466      35.0499
     745      24.4218      35.0128
     746      24.5600      35.1565
     747      24.4792      35.2750
     748      24.2896      34.6767
     749      24.3470      35.2545
     750      24.5470      35.6781
     751      24.6844      35.7746
     752      24.8391      36.3703
     753      24.7357      36.0430
     754      24.7481      35.7778
     755      24.8078      35.6514
     756      24.5910      35.6371
     757      24.5868      35.6249
     758      24.4478      35.0490
     759      24.2551      34.8563
     760      24.0791      34.1432
     761      24.2833      34.4919
     762      24.2263      34.6150
     763      24.2799      34.9368
     764      24.3916      34.8480
     765      24.4699      35.2183
     766      24.3699      34.8618
     767      24.2734      34.5990
     768      24.2844      34.5126
     769      24.2293      34.3865
     770      24.1513      34.1464
     771      24.1853      34.3182
     772      24.1147      33.3939
     773      24.0208      32.6576
     774      24.0983      33.4745
     775      24.1371      33.1601
     776      24.1291      33.2222
     777      23.9942      33.6112
     778      24.0600      33.4225
     779      24.1888      33.6452
     780      24.0829      33.4057
     781      24.1387      33.2830
     782      24.1857      33.1571
     783      24.1934      33.6963
     784      24.2013      32.8518
     785      24.2165      33.7888
     786      24.2404      33.8649
     787      24.3620      34.1191
     788      24.2706      33.4711
     789      24.2363      33.9157
     790      24.0846      34.0307
     791      24.2278      34.1042
     792      24.3482      33.8767
     793      24.2988      33.9353
     794      24.2516      34.5381
